Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2019-01-01,155.23695373535156,371.718505859375,1240.771240234375,1283.8720703125,623.9168090820312,2200.9921875,649.599365234375,257.6205139160156,280.4254455566406,111.28397369384766,2756.301025390625,491.0970764160156,129.75636291503906,1405.730712890625,498.2218322753906,2178.056884765625,797.1151123046875,375.3893737792969,496.1858825683594,377.5352478027344,2410.262939453125,212.41726684570312,1591.314453125,350.95703125,1530.29638671875,541.7257690429688,196.502685546875,280.3340148925781,248.9153594970703,1283.0064697265625,716.8783569335938,7004.4619140625,501.6697998046875,92.17314147949219,94.74829864501953,75.1998519897461,496.1963806152344,589.6653442382812,271.5511779785156,16498.791015625,402.7559509277344,205.28199768066406,41.32326889038086,1561.0006103515625,541.853759765625,906.1698608398438,3878.70263671875,468.166748046875,112.14734649658203
2019-01-02,152.86770629882812,364.3605651855469,1233.2760009765625,1294.870849609375,616.7059936523438,2173.022705078125,635.8592529296875,253.4703826904297,274.4131774902344,108.48064422607422,2768.558349609375,483.1163330078125,127.17735290527344,1401.395751953125,497.0751953125,1987.1739501953125,779.90087890625,370.10968017578125,491.658447265625,382.17626953125,2347.801513671875,204.59764099121094,1576.736328125,351.7771301269531,1512.0743408203125,544.984130859375,195.0430145263672,266.26885986328125,246.95460510253906,1268.4134521484375,687.5396118164062,6808.7119140625,502.5965881347656,91.119384765625,93.8231430053711,73.41384887695312,489.73394775390625,592.4716796875,266.3847961425781,16466.423828125,408.79425048828125,201.06582641601562,39.552555084228516,1577.8179931640625,536.5415649414062,910.222412109375,3875.703857421875,470.03070068359375,111.76968383789062
2019-01-03,150.54779052734375,361.302734375,1241.0159912109375,1299.55126953125,604.671142578125,2180.570068359375,635.7896728515625,250.76992797851562,275.15924072265625,106.82897186279297,2785.479736328125,481.09771728515625,126.26398468017578,1369.9552001953125,492.54595947265625,1897.8875732421875,764.79052734375,370.8918151855469,487.80096435546875,382.3227844238281,2323.21875,199.4958038330078,1580.09375,350.4746398925781,1496.24951171875,545.065673828125,193.8265838623047,260.6889343261719,245.88963317871094,1241.2745361328125,665.8482055664062,6748.849609375,510.418701171875,88.88789367675781,90.85626983642578,72.58666229248047,483.6919250488281,590.8469848632812,263.846923828125,16474.630859375,405.1247863769531,196.80276489257812,38.55903625488281,1558.662353515625,520.8684692382812,909.2946166992188,3773.105712890625,463.9106140136719,111.75252532958984
2019-01-04,150.59713745117188,365.1728210449219,1266.8328857421875,1297.2578125,616.25830078125,2207.086669921875,638.4937133789062,249.78575134277344,283.0146484375,108.93522644042969,2773.754638671875,481.4732360839844,127.06993103027344,1391.4871826171875,496.8745422363281,1887.7603759765625,770.958984375,364.6343688964844,489.1060791015625,384.4723815917969,2302.564697265625,201.11695861816406,1574.1741943359375,352.3560485839844,1484.83642578125,538.4675903320312,195.28627014160156,265.5771179199219,248.41769409179688,1235.0904541015625,672.6152954101562,6777.46923828125,494.2074279785156,90.3445816040039,92.9617919921875,73.65824890136719,486.30340576171875,593.60400390625,269.78369140625,16269.2431640625,402.9881591796875,200.31626892089844,39.071815490722656,1539.7117919921875,513.22021484375,906.609375,3787.133544921875,469.9685363769531,111.39203643798828
2019-01-07,149.3137969970703,364.6950378417969,1256.1531982421875,1306.759033203125,634.0120239257812,2146.02099609375,638.1652221679688,247.60890197753906,285.2088623046875,107.75331115722656,2792.497314453125,482.6468811035156,125.99530792236328,1415.7821044921875,488.9723815917969,1862.1064453125,784.8259887695312,368.2323303222656,489.84515380859375,384.03265380859375,2279.52294921875,198.87596130371094,1577.0455322265625,354.76812744140625,1495.3385009765625,547.1426391601562,195.77284240722656,267.3295593261719,248.1489715576172,1231.3089599609375,676.2767944335938,6896.9609375,491.24249267578125,92.11116790771484,94.33356475830078,74.6170654296875,489.0035705566406,593.2101440429688,268.56011962890625,16448.6796875,400.20123291015625,201.39373779296875,38.89955520629883,1556.980224609375,518.0427856445312,921.8424072265625,3798.9365234375,474.5352478027344,111.3233642578125
2019-01-08,151.48562622070312,361.9238586425781,1224.212890625,1311.6734619140625,647.3895874023438,2175.322998046875,641.7409057617188,246.00413513183594,288.9830322265625,106.66229248046875,2744.30908203125,482.2713317871094,125.35057830810547,1389.9151611328125,491.2369079589844,1882.224853515625,800.079833984375,369.6403503417969,485.76824951171875,385.6448669433594,2289.040283203125,196.92105102539062,1564.5877685546875,366.7802429199219,1513.177001953125,545.7986450195312,197.58006286621094,271.0648498535156,244.6256103515625,1229.8851318359375,670.575927734375,6969.51806640625,501.23052978515625,91.08839416503906,94.0783920288086,74.20345306396484,488.9593200683594,603.1060791015625,276.7174987792969,16285.5205078125,416.2259521484375,201.5811309814453,39.36827087402344,1553.412109375,519.8134765625,923.8928833007812,3788.826904296875,467.3589782714844,111.76968383789062
2019-01-09,147.4381103515625,360.53826904296875,1241.7509765625,1312.3756103515625,666.4860229492188,2176.977783203125,637.36328125,244.77267456054688,293.5909423828125,103.05585479736328,2747.0625,478.9382019042969,125.00132751464844,1403.6346435546875,497.4670104980469,1905.362060546875,798.8365478515625,367.0005187988281,488.9559631347656,386.9150085449219,2263.724365234375,196.1581573486328,1577.089599609375,368.806396484375,1536.1949462890625,550.726806640625,201.8549041748047,268.15960693359375,246.48680114746094,1233.3109130859375,673.2640991210938,7019.544921875,512.4727783203125,90.84046173095703,92.70660400390625,74.29744720458984,491.6593322753906,633.0890502929688,276.7174987792969,15888.4921875,416.87628173828125,199.19192504882812,38.394779205322266,1547.99755859375,522.7145385742188,930.5330810546875,3693.000732421875,475.1876525878906,112.95414733886719
2019-01-10,149.16571044921875,363.3572082519531,1259.38671875,1307.0865478515625,659.6729125976562,2199.902587890625,634.6591796875,243.83212280273438,296.04852294921875,101.70724487304688,2743.7763671875,481.8957214355469,125.18938446044922,1448.604248046875,496.95098876953125,1930.2508544921875,784.3956909179688,366.00323486328125,487.0387268066406,397.3695373535156,2249.891845703125,194.53700256347656,1578.1497802734375,366.1531066894531,1501.812255859375,553.6592407226562,201.29884338378906,266.822265625,242.76437377929688,1239.138916015625,679.6602783203125,6924.64453125,519.9580078125,91.8012466430664,91.39860534667969,73.56424713134766,490.2208251953125,625.0148315429688,276.9441223144531,16035.0263671875,413.02105712890625,200.64418029785156,38.490928649902344,1549.310302734375,523.3551025390625,943.9595947265625,3693.919677734375,480.3446350097656,111.83834838867188
2019-01-11,149.56057739257812,360.39495849609375,1266.5386962890625,1313.919921875,662.9053955078125,2196.390869140625,634.6292114257812,243.78848266601562,294.11761474609375,102.22245788574219,2750.79345703125,479.0320739746094,124.78642272949219,1434.0274658203125,494.6099853515625,1925.696533203125,778.7054443359375,367.6457214355469,487.82403564453125,397.27178955078125,2234.2861328125,196.3012237548828,1563.306640625,365.2365417480469,1453.13916015625,556.754638671875,205.2956085205078,266.361083984375,243.49095153808594,1218.6734619140625,674.7471923828125,6858.03662109375,513.41796875,91.73926544189453,92.2918701171875,73.0754623413086,486.0378723144531,628.707275390625,274.4062805175781,15468.3740234375,412.835205078125,198.5360870361328,37.99417495727539,1511.5733642578125,526.85888671875,936.733642578125,3647.482177734375,486.7752685546875,112.85115814208984
2019-01-14,146.450927734375,357.81494140625,1295.833740234375,1299.83203125,655.6448364257812,2178.7939453125,634.3453369140625,246.75559997558594,291.04559326171875,101.51023864746094,2765.716064453125,480.6751708984375,124.06104278564453,1458.1318359375,492.82318115234375,1923.1424560546875,778.1793823242188,366.5311279296875,485.4564208984375,383.0556335449219,2209.43310546875,196.58726501464844,1558.447509765625,360.2193603515625,1423.3121337890625,571.7424926757812,204.56578063964844,261.8418273925781,241.2117156982422,1186.90771484375,671.641845703125,6940.66455078125,511.3979797363281,90.22058868408203,91.52621459960938,72.37985229492188,485.4845886230469,610.58935546875,272.2762451171875,15063.3701171875,418.82708740234375,200.03517150878906,37.72575759887695,1487.536376953125,512.2783813476562,934.9759521484375,3653.674072265625,478.6669921875,107.30644989013672
